S_no,furnished_status,facing,car_parking,type_of_ownership,booking_amount,buy_total_price
690,Furnished,North,1,,,5500000
691,Furnished,,0,,,2780000
692,Furnished,East,0,,,2500000
693,Semi-Furnished,North-East,2,,,4200000
695,Semi-Furnished,East,0,,,9900000
696,Semi-Furnished,North-East,1,,,13500000
698,Semi-Furnished,West,1,,,6200000
699,Semi-Furnished,North-East,1,,,2800000
700,Semi-Furnished,West,0,,,1200000
702,Semi-Furnished,East,2,,,7999999
703,Furnished,West,2,,,15500000
704,Furnished,East,1,,,5000000
705,Unfurnished,West,,,,2500000
706,Semi-Furnished,North-East,1,,,3800000
707,Semi-Furnished,West,1,,,2675000
710,Semi-Furnished,North-West,1,,,6100000
712,Semi-Furnished,North,0,,,3000000
714,Semi-Furnished,East,0,,,3500000
715,Furnished,South-East,0,,,20000000
716,Semi-Furnished,West,2,,,4500000
717,Furnished,West,1,,,4200000
718,Furnished,South-East,3+,,,21000000
721,Semi-Furnished,North-East,0,,,2900000
722,Semi-Furnished,North-East,0,,,3000000
723,Semi-Furnished,North,1,,,5000000
724,Semi-Furnished,,1,,,9000000
725,Furnished,South,1,,,14500000
727,Semi-Furnished,North-East,1,,,6500000
729,Furnished,East,1,,,27500000
730,Unfurnished,North-East,1,,,2000000
732,Furnished,East,1,,,4000000
733,Semi-Furnished,West,1,,,5100000
734,Unfurnished,East,2,,,21000000
736,Semi-Furnished,,,,,4400000
737,Semi-Furnished,West,1,,,5200000
738,Semi-Furnished,East,1,,,1850000
739,Semi-Furnished,East,1,,,26000
740,Semi-Furnished,East,1,,,3700000
741,Semi-Furnished,West,1,,,5000000
742,Semi-Furnished,South-West,1,,,8500000
743,Furnished,East,0,,,5000000
744,Furnished,South-East,3,,,60100000
745,Semi-Furnished,East,0,,,4000000
748,Semi-Furnished,East,2,,,5200000
749,Furnished,East,3+,,,5000000
750,Unfurnished,West,,,,3400000
751,Semi-Furnished,East,1,,,7800000
752,Furnished,North-East,2,,,5500000
753,Furnished,West,1,,,5500000
754,Unfurnished,East,1,,,3400000
755,Semi-Furnished,West,2,,,3900000
756,Semi-Furnished,North,0,,,1800000
758,Unfurnished,,1,,,10000
759,Semi-Furnished,North-West,0,,,2500000
760,Semi-Furnished,South-West,0,,,3600000
761,Semi-Furnished,North,2,,,30000000
762,Unfurnished,East,0,,,3000000
763,Furnished,West,2,,,25000000
764,Furnished,East,2,,,3500000
765,Furnished,,,,,6800000
766,Semi-Furnished,East,1,,,2000000
767,Semi-Furnished,North-East,1,,,2200000
768,Semi-Furnished,North-East,1,,,7000000
769,Semi-Furnished,North-East,1,,,9500000
770,Semi-Furnished,,2,,,45000000
771,Unfurnished,North-East,2,,,6800000
772,Semi-Furnished,North-East,1,,,4199999
774,Furnished,North,1,,,3200000
775,Furnished,West,2,,,16500000
776,Semi-Furnished,East,,,,2300000
777,Furnished,North,1,,,2850000
778,Semi-Furnished,,0,,,2800000
780,Unfurnished,North,0,,,700000
783,Semi-Furnished,East,1,,,4299000
784,Unfurnished,East,1,,,2300000
785,Furnished,North-West,0,,,3800000
786,Unfurnished,East,,,,8000000
787,Unfurnished,West,1,,,8000000
788,Furnished,,1,,,4000000
789,Furnished,North,1,,,37500
792,Unfurnished,East,3,,,4500000
793,Semi-Furnished,East,1,,,5300000
794,Furnished,West,1,,,3200000
796,Furnished,South-East,1,,,6500000
797,Unfurnished,East,1,,,4800000
798,Unfurnished,East,1,,,4050000
799,Furnished,,,,,1500000
800,,North,0,,,3500000
801,Furnished,South-West,2,,,7500000
803,Unfurnished,East,1,,,2972000
806,Semi-Furnished,East,1,,,2599000
808,Furnished,North-West,1,,,5000000
809,Unfurnished,East,0,,,2500000
810,Semi-Furnished,South-East,0,,,3600000
811,Furnished,East,1,,,9200000
813,Unfurnished,North,1,,,3800000
814,Furnished,North,1,,,11500000
816,Unfurnished,South,1,,,5500000
817,Furnished,East,1,,,15000000
818,Furnished,West,0,,,3700000
820,Unfurnished,North,,,,4200000
821,Semi-Furnished,East,2,,,3900000
822,Furnished,South-West,2,,,6200000
823,Furnished,East,1,,,10000
825,Semi-Furnished,South-East,,,,4500000
826,Semi-Furnished,North,1,,,6200000
827,Unfurnished,East,1,,,2500000
828,Semi-Furnished,South-East,1,,,2500000
829,Semi-Furnished,West,2,,,7000000
830,Semi-Furnished,West,2,,,6000000
831,Semi-Furnished,West,1,,,6100000
832,Semi-Furnished,West,1,,,4800000
833,Furnished,South,1,,,15000000
834,Semi-Furnished,East,0,,,8600000
835,Unfurnished,,1,,,4000000
836,Semi-Furnished,North-West,1,,,7500000
838,Semi-Furnished,South,1,,,4500000
839,Unfurnished,North-West,1,,,2250000
840,Semi-Furnished,South-West,2,,,18500000
841,Semi-Furnished,East,0,,,2700000
842,Unfurnished,North-East,2,,,8000000
843,Furnished,East,,,,9000000
844,Unfurnished,West,1,,,3800000
845,Semi-Furnished,East,2,,,5000000
847,Semi-Furnished,North-West,,,,11500000
