Sno_,carpetarea,status,floor,transaction_type,year_built,price_per_sqft
589,1000,Ready to Move,2,,,5800
590,8,Ready to Move,3,,,1250000
591,1200,New Launch,2,,,5583
592,900,Ready to Move,2,,,9444
593,220,Ready to Move,,,,90909
594,40,,,,,100000
595,1000,New Launch,2,,,4200
596,891,Ready to Move,1,,,2245
597,0,Under Construction,0,,,inf
598,2500,Ready to Move,3,,,2720
599,1300,Ready to Move,0,,,6154
600,850,Ready to Move,1,,,4234
601,870,Ready to Move,1,,,4137
602,850,Ready to Move,1,,,3999
603,284,Ready to Move,1,,,28169
604,200,,2,,,25000
605,1570,Ready to Move,1,,,5732
606,963,Under Construction,2,,,5711
607,270,Ready to Move,1,,,5926
608,900,Ready to Move,1,,,8333
609,1020,Ready to Move,1,,,12255
610,980,New Launch,1,,,2551
611,800,Ready to Move,,,,2250
613,830,Ready to Move,1,,,4336
615,1700,Ready to Move,2,,,5000
616,440,Under Construction,1,,,6591
617,4000,New Launch,2,,,2125
618,630,New Launch,2,,,5159
620,850,New Launch,1,,,3999
623,70,Ready to Move,2350000,,,33571
624,110,New Launch,2,,,109091
625,1200,Under Construction,2,,,3833
626,1400,Ready to Move,2,,,5202
627,900,Ready to Move,2,,,5333
628,830,Ready to Move,1,,,4095
629,830,New Launch,1,,,3372
630,600,Ready to Move,1,,,3333
631,30,Ready to Move,1,,,90000
632,1400,Under Construction,2,,,3929
633,450,Ready to Move,1,,,4444
635,1500,Ready to Move,2,,,6333
636,90,Ready to Move,2,,,31111
637,700,Ready to Move,2,,,5286
638,870,New Launch,2,,,5402
639,963,Ready to Move,2,,,5192
640,150,Ready to Move,1,,,46667
641,7,New Launch,152,,,500000
642,3035,Ready to Move,1,,,362
643,600,Under Construction,1,,,5333
644,708,Ready to Move,2,,,6921
645,650,Under Construction,2,,,3692
646,1000,Ready to Move,1,,,1300
647,1000,Ready to Move,1,,,6000
648,2000,Ready to Move,2,,,50
649,1250,Ready to Move,2,,,2120
650,900,,1,,,5000
651,650,Ready to Move,2,,,3923
652,3330,New Launch,1,,,5556
653,2000,New Launch,2,,,6250
654,2600,Ready to Move,2,,,6154
655,3000,New Launch,1,,,6167
656,82,New Launch,3,,,17073
657,1450,Ready to Move,2,,,4793
658,1680,New Launch,2,,,6845
659,2000,New Launch,2,,,10
660,1200,New Launch,2,,,4167
661,600,Under Construction,1,,,6000
662,1000,Under Construction,1,,,5500
663,630,Ready to Move,2,,,4921
664,2850,Ready to Move,2,,,5088
665,1200,Ready to Move,2,,,5167
666,1400,Ready to Move,2,,,11429
668,3330,,1,,,5556
669,580,Ready to Move,2,,,7328
670,550,Ready to Move,3,,,8182
671,2600,,1,,,6154
672,150,New Launch,1,,,26667
673,1570,Ready to Move,2,,,4204
674,820,Ready to Move,2,,,5488
675,1000,Ready to Move,1,,,4100
676,1050,Ready to Move,1,,,5429
677,420,Ready to Move,1,,,6905
678,1800,Ready to Move,2,,,5222
679,258,Ready to Move,,,,62016
680,1400,New Launch,2,,,3071
681,850,Ready to Move,1,,,7059
682,10000,Ready to Move,3,,,7000
683,1500,Ready to Move,2,,,8
684,600,Ready to Move,2,,,4667
685,900,Ready to Move,2,,,2278
686,3250,Ready to Move,1,,,9846
687,114,Ready to Move,,,,39474
688,1450,Ready to Move,2,,,4966
689,900,Ready to Move,1,,,3778
690,2352,Ready to Move,3,,,2338
691,1000,Ready to Move,0,,,2780
692,120,Ready to Move,1,,,20833
695,650,Ready to Move,4,,,15231
696,1350,Ready to Move,2,,,10000
698,1285,Ready to Move,1,,,4825
699,930,Ready to Move,2,,,3011
700,400,Ready to Move,2,,,3000
701,2400,Under Construction,2,,,3542
702,1700,Ready to Move,2,,,4706
703,3600,Ready to Move,3,,,4306
704,1000,Ready to Move,2,,,5000
705,900,Under Construction,1,,,2778
706,17,New Launch,1,,,223529
707,450,Ready to Move,3,,,5944
708,720,Under Construction,1,,,4444
709,30,Ready to Move,1,,,93333
710,1300,Ready to Move,3,,,4692
711,540,Under Construction,1,,,5185
712,540,Ready to Move,1,,,5556
713,702,Ready to Move,1,,,5413
714,540,Ready to Move,1,,,6481
715,1440,Ready to Move,1,,,13889
716,1028,Ready to Move,1,,,4377
718,3362,Ready to Move,,,,6246
719,550,Ready to Move,1,,,5091
721,500,Under Construction,1,,,5800
722,550,Ready to Move,1,,,5455
723,1350,Ready to Move,1,,,3704
724,1539,Ready to Move,2,,,5848
725,1250,Ready to Move,2,,,11600
726,1250,Ready to Move,4,,,3840
727,1450,Ready to Move,2,,,4483
728,1500,Ready to Move,,,,6533
729,1800,Ready to Move,1,,,15278
730,30,Ready to Move,1,,,66667
731,2000,Ready to Move,,,,3400
732,1836,New Launch,1,,,2179
733,1000,Ready to Move,1,,,5100
734,1400,Ready to Move,1,,,15000
735,2000,Ready to Move,,,,6500
736,1000,Ready to Move,2,,,4400
737,1000,Ready to Move,2,,,5200
738,450,Ready to Move,1,,,4111
739,1050,Ready to Move,2,,,25
740,740,Ready to Move,1,,,5000
741,680,Ready to Move,3,,,7353
742,1245,Ready to Move,2,,,6827
743,800,Ready to Move,2,,,6250
744,5000,Ready to Move,3,,,12020
745,400,New Launch,2,,,10000
746,950,Ready to Move,,,,4211
747,480,New Launch,3,,,11458
748,1300,Under Construction,2,,,4000
749,2200,Under Construction,1,,,2273
750,900,New Launch,2,,,3778
751,1600,Ready to Move,2,,,4875
752,1200,Ready to Move,2,,,4583
753,1100,Ready to Move,3,,,5000
754,820,Ready to Move,2,,,4146
755,1000,Ready to Move,1,,,3900
756,270,Ready to Move,1,,,6667
757,700,Under Construction,1,,,5714
758,1200,Ready to Move,2,,,8
760,558,Under Construction,1,,,6452
761,2250,Ready to Move,2,,,13333
762,6000,Ready to Move,2,,,500
763,6600,Ready to Move,3,,,3788
764,500,Ready to Move,3,,,7000
765,855,Ready to Move,1,,,7953
767,500,Ready to Move,1,,,4400
768,1680,Ready to Move,2,,,4167
770,2400,Ready to Move,3,,,18750
771,1000,New Launch,1,,,6800
772,750,Ready to Move,1,,,5600
773,1100,Ready to Move,2,,,6818
774,890,New Launch,,,,3596
775,4000,Ready to Move,3,,,4125
776,1400,Ready to Move,1,,,1643
777,350,Ready to Move,2,,,8143
778,330,Ready to Move,2,,,8485
779,1485,Ready to Move,1,,,2357
780,550,Ready to Move,1,,,1273
781,1120,Ready to Move,2,,,2768
782,2500,Under Construction,2,,,2480
783,1000,Ready to Move,2,,,4299
784,50,Ready to Move,2,,,46000
786,1400,Ready to Move,2,,,5714
787,1300,Ready to Move,1,,,6154
788,1050,New Launch,,,,3810
789,1250,Ready to Move,2,,,30
791,1100,Ready to Move,1,,,5000
792,1150,Ready to Move,1,,,3913
793,1000,Under Construction,1,,,5300
794,600,Ready to Move,2,,,5333
796,80,New Launch,2,,,81250
797,750,Ready to Move,,,,6400
798,1000,Ready to Move,3,,,4050
799,40,New Launch,3,,,37500
800,75,Ready to Move,2,,,46667
801,1320,Ready to Move,2,,,5682
802,1000,Ready to Move,2,,,5500
803,645,Under Construction,2,,,4608
806,850,New Launch,1,,,3058
807,850,New Launch,1,,,3294
808,540,Ready to Move,2,,,9259
809,52,Ready to Move,5,,,48077
810,650,Under Construction,1,,,5538
811,1188,Ready to Move,1,,,7744
812,1100,Ready to Move,2,,,4182
813,650,Ready to Move,2,,,5846
814,1525,Ready to Move,2,,,7541
815,480,Ready to Move,1,,,5208
817,1600,Ready to Move,3,,,9375
819,810,Ready to Move,1,,,4443
820,1750,Ready to Move,2,,,2400
821,900,Ready to Move,2,,,4333
822,900,Ready to Move,2,,,6889
823,1800,New Launch,0,,,6
824,750,New Launch,1,,,6267
825,683,New Launch,0,,,6589
826,660,Ready to Move,1,,,9394
828,500,Ready to Move,2,,,5000
830,2500,Ready to Move,3500,,,2400
831,1600,Ready to Move,1,,,3812
832,730,Under Construction,1,,,6575
833,1700,Ready to Move,2,,,8824
834,110,Ready to Move,3,,,78182
835,1145,Under Construction,,,,3493
836,1034,Ready to Move,1,,,7253
837,1015,Ready to Move,2,,,4828
838,1337,Ready to Move,1,,,3366
839,100,Ready to Move,100,,,22500
